epsode,capture,total_captures,lone_wolf_captures,prey_survived_step,predator_distance,avg_predator_distance,predator_proximity_rate,score,capture_x,capture_z,catcher_predator_x,catcher_predator_z,other_predator_x,other_predator_z
0,True,1,1,14392,50.98826,24.38395,0.2455531,1.0,68.63097,-62.52321,66.85667,-62.38435,39.04041,-19.65213
1,True,2,2,3638,29.38802,16.175,0.2941177,1.0,49.54495,-3.592377,50.03889,-5.580368,53.67046,-34.7431
2,True,3,3,2260,23.11024,12.52664,0.6415929,1.0,46.92656,-42.61043,45.95372,-41.16909,36.90216,-19.90522
3,True,4,4,8774,61.04688,49.9609,0.0,1.0,68.64362,-68.37933,66.93591,-68.14285,24.1143,-24.63433
4,True,5,5,10044,15.27004,19.43029,0.2819594,1.0,68.17953,-53.75163,67.22668,-55.39716,52.29147,-58.57282
5,True,6,6,6564,57.17899,32.42626,0.03443022,1.0,4.250809,-67.8833,3.41967,-66.30347,45.1369,-27.20083
6,True,7,7,6542,47.98956,24.71383,0.1424641,1.0,3.322731,-67.7796,4.557312,-66.77444,23.89511,-22.854
7,True,8,8,17294,49.14445,9.109178,0.7663929,1.0,3.834259,-46.6588,3.442574,-45.29976,49.0239,-26.92867
8,True,9,9,8048,49.15224,32.99997,0.0,1.0,2.810898,-67.93146,3.041069,-66.16938,26.54125,-22.99959
9,True,10,10,10162,14.42746,26.00553,0.0456603,1.0,3.265213,-68.38483,5.030518,-68.17706,13.44063,-56.45607
10,True,10,10,20000,0,25.24773,0.1325,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,True,11,11,17134,54.54597,22.13292,0.513015,1.0,3.265091,-2.396156,4.992188,-2.687798,14.61837,-56.37719
12,True,12,12,7078,46.67429,23.96265,0.2695677,1.0,3.289406,-2.737846,5.035942,-2.413895,43.7861,-28.42948
13,True,13,13,7470,54.50736,24.35398,0.3129853,1.0,3.277069,-2.268814,5.020409,-2.474838,18.00854,-55.41171
14,True,14,14,5984,53.75045,22.04309,0.22627,1.0,3.274872,-2.775864,3.35907,-4.541245,50.90393,-29.61113
15,True,15,14,2340,4.354948,49.72363,0.06068376,0.9333333,49.41841,-46.56274,50.0976,-44.59599,49.01064,-48.81307
16,True,16,15,12670,55.47786,44.82162,0.0,0.9375,69.23022,-67.33816,69.10294,-65.45033,14.57804,-55.21607
17,True,17,16,4654,32.91869,41.62062,0.0,0.9411765,2.819862,-2.831505,3.261177,-4.006775,23.63168,-29.86399
18,True,18,17,1034,24.91428,22.50497,0.08510638,0.9444444,53.58792,-28.15161,53.61292,-29.89657,39.5153,-50.43854
19,True,19,18,17776,52.05005,36.23125,0.155378,0.9473684,2.673882,-2.80957,2.916893,-4.527107,15.14713,-55.1187
20,True,20,19,2482,54.33747,31.84611,0.0,0.95,15.87261,-2.805962,16.30505,-4.534615,14.80179,-58.85125
21,True,21,20,13544,47.8778,26.58271,0.1402835,0.952381,58.91122,-61.16644,58.16513,-59.56205,23.06592,-26.99945
22,True,21,20,20000,0,39.70584,0.0711,0.952381,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
23,True,21,20,20000,0,43.99593,0.0,0.952381,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
24,True,22,21,2074,52.73661,39.54499,0.0,0.9545454,3.396095,-2.787804,3.32383,-4.559036,50.44675,-28.23356
25,True,23,21,10548,4.955494,31.36513,0.2963595,0.9130435,68.61534,-66.86832,66.88754,-66.51225,61.94478,-66.86593
26,True,23,21,20000,0,37.44577,0.034,0.9130435,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27,True,23,21,20000,0,28.00429,0.0416,0.9130435,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
