epsode,capture,total_captures,lone_wolf_captures,prey_survived_step,predator_distance,avg_predator_distance,predator_proximity_rate,score,capture_x,capture_z,catcher_predator_x,catcher_predator_z,other_predator_x,other_predator_z
81,True,70,56,5108,19.60235,27.22645,0.05716523,0.8,14.40292,-7.731339,15.94489,-7.049911,35.5001,-8.398239
82,True,71,57,14058,70.21315,59.99149,0.0,0.8028169,51.75931,-58.95825,49.90073,-59.69914,3.240814,-7.233292
83,True,72,58,474,24.64415,28.52787,0.0,0.8055556,50.95337,-26.18143,51.86258,-27.29832,51.60347,-2.65596
84,True,73,59,5782,14.63012,34.60578,0.0,0.8082192,46.89766,-37.87438,45.3371,-37.73716,57.09836,-29.03584
85,True,74,60,112,26.05342,23.08858,0.0,0.8108108,15.18074,-62.56012,15.63793,-60.85648,40.97436,-54.78728
86,True,75,61,19082,29.73741,23.36217,0.2656954,0.8133333,69.16243,-2.795212,68.91812,-4.49762,52.28622,-29.14787
87,True,76,62,1964,25.13939,15.02491,0.2922607,0.8157895,68.61194,-11.00798,67.40732,-12.35287,52.63547,-32.69423
88,True,77,63,1536,53.74583,37.45698,0.0,0.8181818,34.42332,-67.90398,35.67281,-66.56336,42.31493,-13.22993
89,True,78,64,6150,57.45224,29.67704,0.1626016,0.8205128,7.428764,-2.807449,6.152451,-4.145035,13.10102,-61.17548
90,True,79,64,5226,3.302791,26.39487,0.1151933,0.8101266,34.5143,-37.30738,35.90912,-36.03115,32.68346,-36.73983
91,True,80,65,6294,54.75818,31.96324,0.0,0.8125,3.301056,-5.880264,4.484871,-4.50766,52.1097,-31.53083
92,True,81,66,2492,12.20043,28.55674,0.1982343,0.8148148,68.6442,-26.07898,67.02016,-26.63577,55.58752,-30.8951
93,True,82,67,3334,66.79466,38.75953,0.0,0.8170732,68.62967,-68.20292,66.89188,-68.43075,38.29659,-8.067017
94,True,83,68,2216,45.51775,34.8872,0.07851986,0.8192771,3.267723,-2.816345,3.470573,-4.590561,23.39656,-45.51487
95,True,84,69,5070,27.42561,32.09137,0.0,0.8214286,68.60352,-4.901611,67.32588,-3.618744,59.11,-29.78437
96,True,85,70,5112,18.51303,35.56009,0.0,0.8235294,54.17166,-50.19226,52.26228,-50.8919,51.47971,-32.39561
97,True,85,70,20000,0,33.00257,0.0063,0.8235294,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
98,True,86,71,17612,18.5406,44.77903,0.03758801,0.8255814,48.66869,-10.55768,49.20421,-8.860611,50.3102,-27.36772
99,True,87,72,8758,52.68227,33.47355,0.05800411,0.8275862,10.84588,-16.88087,12.42021,-17.74062,62.91467,-2.716492
100,True,88,73,2232,28.17623,14.17275,0.4480287,0.8295454,68.61021,-34.59465,66.92535,-35.2097,42.10011,-21.8833
101,True,89,74,3364,28.52907,22.99644,0.1319857,0.8314607,39.44302,-58.26258,38.01375,-57.18026,25.4964,-31.54427
102,True,90,75,3336,27.22133,46.71813,0.0,0.8333333,45.03844,-41.25079,45.4785,-39.54187,18.4042,-42.36689
103,True,90,75,20000,0,27.93367,0.1262,0.8333333,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
104,True,90,75,20000,0,59.69079,0.0483,0.8333333,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
105,True,91,76,2784,56.20421,40.16058,0.0,0.8351648,3.309265,-4.56205,4.905632,-3.818741,54.5076,-30.24738
106,True,92,77,2974,38.31966,42.31976,0.0,0.8369565,68.61151,-65.4176,67.44824,-66.84181,55.0036,-30.6001
107,True,93,77,3806,1.876115,42.3744,0.1082501,0.827957,3.315033,-3.569016,4.919907,-2.749451,6.465683,-3.811127
108,True,94,78,6276,19.14115,35.70103,0.1813257,0.8297873,63.18593,-13.62318,63.16853,-15.39758,44.16224,-17.66368
109,True,94,78,20000,0,32.48708,0.0267,0.8297873,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
110,True,95,79,2198,62.84534,44.4084,0.0,0.831579,68.63637,-14.90624,66.85736,-14.87826,25.7878,-62.44743
111,True,96,80,14068,51.57256,26.43126,0.1700313,0.8333333,25.71055,-67.88261,24.67086,-66.46461,60.26129,-29.14122
112,True,97,81,1504,46.89762,41.59995,0.0,0.8350515,3.280746,-2.119232,4.983994,-2.258614,48.57544,-19.55157
113,True,98,81,3330,3.798296,35.6492,0.04924925,0.8265306,4.251671,-38.16823,5.215767,-39.82011,3.971664,-36.23197
114,True,99,82,3818,67.37891,35.26259,0.0,0.8282828,68.67172,-67.9011,68.09984,-66.19907,35.71072,-7.11599
115,True,100,83,6510,71.9146,25.02352,0.4046083,0.83,67.73524,-67.92198,66.25902,-66.84161,29.91218,-4.788345
116,True,101,84,16310,28.96118,23.21687,0.1299816,0.8316832,39.59393,-2.826759,40.64279,-4.299011,50.41292,-31.56236
117,True,102,85,1926,51.55153,42.37642,0.0,0.8333333,3.268311,-3.486496,4.987633,-3.367706,45.66322,-35.03763
118,True,103,86,5426,34.91457,20.63003,0.2661261,0.8349515,45.68964,-61.43494,44.42404,-60.27454,61.46428,-29.80067
119,True,104,87,2902,33.19831,26.14867,0.2253618,0.8365384,18.69612,-38.51478,20.03353,-39.58965,52.58261,-33.0565
120,True,105,88,10858,30.92824,31.04031,0.06575797,0.8380952,47.99031,-10.27785,49.74016,-9.72139,29.06676,-32.72438
121,True,106,89,8426,24.69644,17.00756,0.5283646,0.8396226,19.18878,-31.35146,20.59007,-31.03223,44.29315,-37.96603
122,True,107,90,8076,29.58999,28.47019,0.1223378,0.8411215,19.09869,-30.65414,20.53719,-31.02493,41.00838,-9.659157
123,True,108,90,1736,4.426458,41.20871,0.06797235,0.8333333,52.68604,-32.55069,50.7648,-31.94045,55.05336,-33.03648
124,True,109,91,2908,51.42701,19.9303,0.4277854,0.8348624,3.293449,-68.32976,4.935822,-67.69482,54.33606,-53.40451
125,True,110,92,6266,60.68782,34.69345,0.09352059,0.8363636,4.26223,-67.91034,3.855499,-66.2228,53.60622,-31.46944
126,True,111,93,1706,61.12345,43.51451,0.0,0.8378378,2.776367,-67.12107,2.858688,-65.13622,53.82352,-31.39342
127,True,112,94,3402,30.43281,33.43787,0.0,0.8392857,68.35458,-2.788315,68.55901,-4.503365,46.64326,-25.61768
128,True,113,95,4036,59.71087,58.7534,0.0,0.840708,68.63004,-68.26385,66.87349,-68.46527,7.164627,-67.97614
129,True,114,96,3310,52.92856,28.18957,0.0,0.8421053,20.69623,-56.19434,21.23412,-54.23801,46.80834,-7.898048
130,True,115,97,6382,28.41173,16.43073,0.4255719,0.8434783,13.86674,-27.64522,14.13753,-25.94996,41.27101,-17.52396
131,True,116,97,13420,6.259269,37.01777,0.1441133,0.8362069,40.57072,-2.732765,40.94824,-4.382149,47.19379,-3.968216
132,True,117,98,2766,29.37957,33.80151,0.0,0.8376068,69.08476,-2.792946,68.90692,-4.551834,54.81981,-30.33313
133,True,118,99,11712,51.78195,32.71965,0.0483265,0.8389831,68.61111,-68.30657,66.90656,-67.86113,43.60393,-21.61972
