epsode,capture,total_captures,lone_wolf_captures,prey_survived_step,predator_distance,avg_predator_distance,predator_proximity_rate,score,capture_x,capture_z,catcher_predator_x,catcher_predator_z,other_predator_x,other_predator_z
0,True,0,0,20000,0,37.00441,0.0192,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,True,1,1,13460,19.45025,35.39392,0.1375929,1.0,25.83313,-67.88354,25.71193,-66.15298,26.67224,-46.72651
2,True,2,2,1088,18.96404,29.47997,0.0,1.0,40.89357,-14.84997,41.53169,-16.31627,22.65855,-18.16824
3,True,3,3,3676,32.32793,34.58522,0.0,1.0,20.11774,-33.95222,21.89954,-33.87909,13.17485,-2.751862
4,True,3,3,20000,0,29.78394,0.0447,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,True,4,4,19036,51.49113,32.84086,0.1717798,1.0,68.72818,-67.90386,67.91541,-66.26915,46.88725,-19.26857
6,True,5,5,13126,64.43305,35.70358,0.09705927,1.0,3.296654,-68.11397,4.9589,-67.42053,48.48387,-19.91182
7,True,5,5,20000,0,33.5079,0.1743,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,True,6,6,4230,56.14363,39.39753,0.0,1.0,3.315071,-67.66379,4.940605,-66.94095,60.84314,-61.74754
9,True,7,7,9914,31.86455,26.31654,0.261045,1.0,26.3102,-53.33254,27.14079,-51.74619,50.00133,-29.54854
10,True,8,7,14948,4.318321,34.97015,0.1026224,0.875,24.6976,-2.416153,22.65085,-2.271912,26.95712,-2.593033
11,True,8,7,20000,0,34.97305,0.0177,0.875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,True,9,7,1316,4.282321,29.41747,0.1428571,0.7777778,33.12304,-2.818626,34.15229,-4.298668,29.89842,-3.811516
13,True,10,7,1846,5.215427,26.17844,0.1614301,0.7,35.98628,-57.081,37.57381,-56.24256,40.92781,-52.24876
14,True,11,8,2526,10.79156,17.52148,0.6231195,0.7272727,3.283798,-21.0282,4.304031,-22.54487,14.61628,-25.72421
15,True,12,9,2300,47.86489,20.15315,0.2513044,0.75,3.392151,-4.240639,4.177979,-5.573265,47.63974,-25.62491
16,True,12,9,20000,0,31.12633,0.0723,0.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,True,13,10,7848,25.10985,30.97186,0.05249745,0.7692308,34.81113,-2.821991,35.66132,-4.404572,23.90474,-26.5921
18,True,14,11,2902,23.64563,31.54233,0.0,0.7857143,68.66797,-13.75639,66.7229,-13.66351,51.29085,-31.57884
19,True,15,11,1514,4.589681,36.728,0.08454426,0.7333333,35.88288,-33.2746,34.4308,-33.22428,38.95394,-33.99537
