epsode,capture,total_captures,lone_wolf_captures,prey_survived_step,predator_distance,avg_predator_distance,predator_proximity_rate,score,capture_x,capture_z,catcher_predator_x,catcher_predator_z,other_predator_x,other_predator_z
0,True,1,0,10816,5.095306,34.5554,0.1532914,0.0,68.63715,-68.09862,66.86411,-68.2203,61.78374,-67.83295
1,True,2,1,5154,12.47491,22.47773,0.4578968,0.5,67.91089,-68.5109,65.97908,-68.37437,53.50493,-68.25127
2,True,3,1,1300,4.052594,17.69831,0.14,0.3333333,40.75674,-43.84535,41.03918,-45.36266,40.06075,-41.42998
3,True,4,2,12236,57.62868,46.16346,0.06979405,0.5,2.820259,-2.784645,3.05262,-4.531044,36.90031,-51.17175
4,True,5,3,5132,49.86166,31.9313,0.2552611,0.6,3.298325,-17.31262,4.99321,-17.78076,47.45665,-43.91577
5,True,6,4,2054,14.46571,26.77766,0.0,0.6666667,54.82716,-48.73915,53.21127,-48.18672,65.83051,-41.11774
6,True,7,5,3288,40.95842,31.88668,0.0,0.7142857,3.60202,-2.784134,3.496292,-4.477913,32.88385,-33.00682
7,True,8,5,1650,4.107455,24.80172,0.1575758,0.625,32.06003,-52.90791,34.09879,-52.75103,30.00276,-52.44532
8,True,9,5,10248,4.356019,27.62251,0.08957846,0.5555556,21.56596,-39.76992,22.34895,-41.68438,21.05838,-37.52467
9,True,10,6,10194,46.68687,27.03679,0.08554051,0.6,3.063156,-67.90242,3.538597,-66.21913,37.27589,-33.94852
10,True,11,7,3550,62.63867,42.78318,0.0,0.6363636,3.713478,-46.75978,4.840782,-45.06646,67.37624,-48.66084
11,True,12,8,4482,60.06109,28.63006,0.1775993,0.6666667,69.23004,-3.372406,69.09045,-5.229385,24.29596,-45.23919
12,True,13,9,2654,39.70912,47.37356,0.0,0.6923077,40.48508,-2.810387,40.95239,-4.50206,50.97281,-42.92608
13,True,14,10,11202,46.57543,24.66143,0.2096054,0.7142857,68.4967,-67.92783,68.30197,-66.16122,61.82642,-20.0385
14,True,15,11,3064,46.59675,33.47274,0.0,0.7333333,69.08415,-67.92859,68.81268,-66.14459,44.3271,-26.50071
15,True,16,12,7964,31.75068,20.00917,0.3083878,0.75,67.90283,-68.50623,65.91042,-68.36024,34.27501,-65.65812
16,True,17,13,13242,48.17106,35.77039,0.07853799,0.7647059,3.30658,-68.04037,5.016342,-68.13345,25.79918,-24.67693
17,True,18,14,6846,38.61773,50.85324,0.002629273,0.7777778,68.64142,-68.35579,66.91608,-68.2485,53.95393,-31.87209
18,True,19,15,5026,20.73783,34.30137,0.0,0.7894737,68.63884,-68.49343,66.91129,-68.2506,52.94014,-52.92931
19,True,20,16,3424,27.91896,33.2565,0.0,0.8,3.855026,-2.191643,5.850784,-2.309998,22.67556,-24.58871
20,True,21,17,4288,29.90271,29.31012,0.1068097,0.8095238,3.858498,-2.208435,5.705215,-2.322617,27.32666,-22.97759
21,True,22,18,11154,35.34013,24.67375,0.1518738,0.8181818,17.26588,-40.53645,18.58763,-41.67604,48.10374,-22.24139
22,True,23,19,6642,72.0274,30.10294,0.3321289,0.8260869,68.99066,-67.93189,68.68292,-66.16309,3.237358,-36.08303
23,True,24,20,2998,68.02719,42.66376,0.0,0.8333333,68.25595,-67.89333,67.78093,-66.1319,5.952087,-37.7617
24,True,25,21,10928,13.59375,6.526444,0.9388726,0.84,69.23207,-3.365608,69.0274,-5.280609,69.01535,-18.87418
25,True,26,22,3186,51.60748,41.81421,0.0,0.8461539,68.62431,-3.248764,66.87213,-2.941086,21.66244,-27.82877
26,True,27,23,4654,75.48224,52.08923,0.0,0.8518519,2.980164,-2.78656,3.278999,-4.508057,53.28984,-61.04474
27,True,28,24,3296,33.26966,35.17907,0.0,0.8571429,3.267632,-2.392799,4.939751,-2.370445,22.09118,-30.87664
28,True,29,25,5416,48.97113,39.019,0.02621861,0.862069,2.764648,-67.92083,2.988503,-66.23908,51.61858,-60.47925
29,True,30,26,9680,56.70953,27.3178,0.3807851,0.8666667,2.831421,-2.790482,3.148064,-4.540726,35.05032,-51.42542
30,True,31,27,3568,17.33473,10.65638,0.7399103,0.8709677,68.61798,-67.72869,67.73578,-66.29372,50.99258,-61.81251
31,True,32,28,4936,39.4844,32.3161,0.1053485,0.875,35.49008,-55.6155,36.76665,-54.40305,3.25985,-33.51504
32,True,33,29,17510,10.82984,24.07908,0.3892633,0.8787879,68.63043,-68.5892,66.93497,-68.39439,56.4583,-65.65565
33,True,34,30,16948,19.32083,39.72372,0.0,0.8823529,2.752609,-3.523666,3.175369,-5.588242,15.48096,-20.48166
34,True,35,31,15220,55.71453,36.62493,0.0,0.8857143,2.763367,-3.519997,3.1894,-5.462639,34.50342,-51.54412
35,True,36,32,12896,28.28735,22.95537,0.2527916,0.8888889,24.03232,-67.55251,22.74271,-66.20045,50.39821,-60.25847
36,True,37,33,1778,31.49362,26.60136,0.0,0.8918919,40.24772,-29.31598,40.85619,-30.98838,52.68141,-60.17762
37,True,38,34,3610,12.00384,9.068182,0.8836565,0.8947368,68.62775,-68.00526,66.86545,-68.24788,57.94395,-60.22139
38,True,39,35,4918,34.03892,27.6915,0.08662058,0.8974359,2.931488,-2.804672,3.29541,-4.530014,23.69125,-31.78006
39,True,40,36,2162,48.14863,25.11525,0.0,0.9,56.57935,-63.04362,55.20885,-62.02361,36.88821,-17.49672
40,True,40,36,20000,0,25.96061,0.273,0.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
41,True,41,37,3834,65.29562,56.59782,0.0,0.902439,4.00293,-2.192596,5.981003,-2.309204,53.57947,-47.00556
42,True,42,38,5878,57.63194,29.37625,0.1415447,0.9047619,3.262741,-68.20975,5.037674,-67.9774,34.68008,-18.55363
