epsode,capture,total_captures,lone_wolf_captures,prey_survived_step,predator_distance,avg_predator_distance,predator_proximity_rate,score,capture_x,capture_z,catcher_predator_x,catcher_predator_z,other_predator_x,other_predator_z
128,True,121,94,20000,0,36.89545,0.1087,0.7768595,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
129,True,122,95,1366,43.77424,19.38183,0.3704246,0.7786885,45.97099,-61.13926,46.36408,-59.31342,22.00456,-22.9432
130,True,123,96,8618,50.17106,24.81945,0.2181481,0.7804878,7.693558,-2.628754,9.415337,-3.366005,58.70184,-12.74403
131,True,123,96,20000,0,38.15513,0.0455,0.7804878,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
132,True,124,97,3974,24.83207,28.76248,0.0,0.7822581,38.94801,-15.97441,39.20833,-17.69756,53.24065,-38.18475
133,True,125,98,19700,61.52316,37.22456,0.055533,0.784,3.291473,-68.39288,5.059204,-68.22421,5.024399,-6.701149
134,True,126,99,7800,50.5503,31.21886,0.2330769,0.7857143,68.60625,-67.88808,67.5397,-66.44136,44.06778,-21.67183
135,True,127,100,6538,39.08651,31.06818,0.0,0.7874016,56.92354,-38.32122,55.6113,-37.95185,20.57092,-20.63348
136,True,127,100,20000,0,39.69054,0.2128,0.7874016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
137,True,128,100,7070,2.466014,28.71432,0.1770863,0.78125,47.00163,-2.796227,46.74756,-4.518791,44.5481,-3.404259
138,True,129,101,3046,70.12334,44.76622,0.0,0.7829458,3.44841,-43.66505,4.695969,-42.88234,62.2733,-2.855698
139,True,130,101,4218,4.212562,29.65624,0.03461356,0.7769231,68.20282,-50.39931,67.60571,-52.34909,68.49495,-48.23156
140,True,131,102,4350,48.10669,17.91252,0.348046,0.778626,3.365669,-67.88255,3.387604,-66.06509,17.34612,-20.02855
141,True,132,103,9472,25.58765,17.91083,0.2421875,0.780303,47.00821,-67.88337,46.32433,-66.24059,67.81577,-52.35377
142,True,133,104,1416,27.95668,23.17861,0.0,0.7819549,25.83687,-14.27386,24.39487,-15.22372,5.570557,-35.89305
143,True,134,105,18680,52.88206,36.52626,0.03436831,0.7835821,3.266563,-68.33249,4.997246,-68.44971,44.75723,-33.58466
144,True,135,106,554,54.19337,47.57383,0.0,0.7851852,3.406258,-67.87439,4.586105,-67.0933,27.76723,-18.10849
145,True,136,107,19740,64.05957,37.56823,0.1177305,0.7867647,3.279167,-67.60445,5.000778,-67.90645,68.67703,-60.91035
146,True,137,108,3410,18.19619,28.49644,0.0,0.7883212,25.01039,-39.07233,25.41775,-40.79427,41.3288,-31.96677
147,True,138,109,1566,41.27406,44.74097,0.0,0.7898551,68.61006,-68.11413,67.04504,-67.35056,50.28355,-29.63405
148,True,139,110,2648,47.2908,46.43046,0.0,0.7913669,68.63562,-2.448013,66.8895,-2.451393,23.10327,-20.31655
149,True,140,110,3490,3.864412,20.82381,0.1553009,0.7857143,20.61147,-34.91143,20.61777,-36.81705,21.66057,-33.09605
150,True,141,111,12748,52.19903,32.91204,0.1692815,0.7872341,68.64082,-68.24106,67.04785,-67.4709,68.93494,-15.30611
151,True,142,112,1504,56.06822,43.9379,0.0,0.7887324,68.61732,-67.95508,66.96802,-67.36429,53.42123,-12.95728
152,True,143,113,2456,19.84923,36.02073,0.0,0.7902098,56.89687,-38.26224,55.11024,-38.19832,63.14935,-20.04993
153,True,143,113,20000,0,42.54463,0.0308,0.7902098,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
154,True,144,114,6912,11.51316,30.20101,0.2369792,0.7916667,3.28994,-67.99773,4.987587,-68.2864,14.21169,-61.3975
155,True,145,115,2854,49.43526,41.98887,0.0,0.7931035,68.6514,-2.822151,67.88412,-4.424423,46.22789,-48.86344
156,True,146,116,11334,17.12899,41.45311,0.03511558,0.7945206,68.60129,-20.19468,66.98167,-19.47977,63.34024,-2.74247
157,True,147,117,3838,63.97177,42.39608,0.0,0.7959183,3.274498,-68.46787,5.011002,-68.43747,68.66989,-62.11944
158,True,148,118,2652,11.43642,11.62707,0.7722474,0.7972973,68.68997,-67.89687,68.78528,-66.10409,66.73415,-54.85406
