[Inference] catch_radius_9_team_reward_5
[Episode 0] [capture] total_captures = 1, lone_wolf_captures = 1, prey_survived_step = 145, predator_distance = 30.073, avg_predator_distance = 29.99774, predator_proximity_rate = 0, score = 1
[Episode 1] [capture] total_captures = 2, lone_wolf_captures = 2, prey_survived_step = 2453, predator_distance = 22.1541, avg_predator_distance = 11.78157, predator_proximity_rate = 0.265797, score = 1
[Episode 2] [capture] total_captures = 3, lone_wolf_captures = 3, prey_survived_step = 1394, predator_distance = 12.82689, avg_predator_distance = 22.86447, predator_proximity_rate = 0, score = 1
[Episode 3] [capture] total_captures = 4, lone_wolf_captures = 4, prey_survived_step = 455, predator_distance = 20.16576, avg_predator_distance = 26.82779, predator_proximity_rate = 0, score = 1
[Episode 4] [capture] total_captures = 5, lone_wolf_captures = 5, prey_survived_step = 236, predator_distance = 15.92802, avg_predator_distance = 14.61078, predator_proximity_rate = 0, score = 1
[Episode 5] [capture] total_captures = 6, lone_wolf_captures = 6, prey_survived_step = 82, predator_distance = 14.83314, avg_predator_distance = 15.82795, predator_proximity_rate = 0, score = 1
[Episode 6] [capture] total_captures = 7, lone_wolf_captures = 7, prey_survived_step = 62, predator_distance = 19.13136, avg_predator_distance = 18.08871, predator_proximity_rate = 0, score = 1
[Episode 7] [capture] total_captures = 8, lone_wolf_captures = 8, prey_survived_step = 2185, predator_distance = 25.12766, avg_predator_distance = 21.21155, predator_proximity_rate = 0, score = 1
[Episode 8] [capture] total_captures = 9, lone_wolf_captures = 9, prey_survived_step = 314, predator_distance = 21.66671, avg_predator_distance = 22.96391, predator_proximity_rate = 0, score = 1
[Episode 9] [capture] total_captures = 10, lone_wolf_captures = 10, prey_survived_step = 258, predator_distance = 10.79137, avg_predator_distance = 9.69245, predator_proximity_rate = 0.2635659, score = 1
[Episode 10] [capture] total_captures = 11, lone_wolf_captures = 10, prey_survived_step = 4960, predator_distance = 5.09182, avg_predator_distance = 6.444417, predator_proximity_rate = 0.8292339, score = 0.9090909
[Episode 11] [capture] total_captures = 12, lone_wolf_captures = 11, prey_survived_step = 485, predator_distance = 31.82262, avg_predator_distance = 23.48542, predator_proximity_rate = 0, score = 0.9166667
[Episode 12] [capture] total_captures = 13, lone_wolf_captures = 12, prey_survived_step = 1118, predator_distance = 25.36823, avg_predator_distance = 21.03925, predator_proximity_rate = 0, score = 0.9230769
[Episode 13] [capture] total_captures = 14, lone_wolf_captures = 13, prey_survived_step = 337, predator_distance = 15.32049, avg_predator_distance = 12.41762, predator_proximity_rate = 0.3946587, score = 0.9285714
[Episode 14] [capture] total_captures = 15, lone_wolf_captures = 13, prey_survived_step = 870, predator_distance = 4.093877, avg_predator_distance = 16.27623, predator_proximity_rate = 0.3482759, score = 0.8666667
[Episode 15] [capture] total_captures = 16, lone_wolf_captures = 14, prey_survived_step = 1957, predator_distance = 16.29479, avg_predator_distance = 17.97006, predator_proximity_rate = 0, score = 0.875
[Episode 16] [capture] total_captures = 17, lone_wolf_captures = 15, prey_survived_step = 3352, predator_distance = 23.60546, avg_predator_distance = 17.43033, predator_proximity_rate = 0.274463, score = 0.8823529
[Episode 17] [capture] total_captures = 18, lone_wolf_captures = 16, prey_survived_step = 6670, predator_distance = 18.81323, avg_predator_distance = 10.03561, predator_proximity_rate = 0.4628186, score = 0.8888889
[Episode 18] [capture] total_captures = 19, lone_wolf_captures = 17, prey_survived_step = 9092, predator_distance = 21.91101, avg_predator_distance = 13.60319, predator_proximity_rate = 0.1472723, score = 0.8947368
[Episode 19] [capture] total_captures = 20, lone_wolf_captures = 18, prey_survived_step = 2495, predator_distance = 29.87129, avg_predator_distance = 32.71107, predator_proximity_rate = 0, score = 0.9
[Episode 20] [capture] total_captures = 21, lone_wolf_captures = 18, prey_survived_step = 739, predator_distance = 3.569246, avg_predator_distance = 27.06996, predator_proximity_rate = 0.08525034, score = 0.8571429
[Episode 21] [capture] total_captures = 22, lone_wolf_captures = 19, prey_survived_step = 161, predator_distance = 19.71219, avg_predator_distance = 12.82614, predator_proximity_rate = 0.2857143, score = 0.8636364
[Episode 22] [capture] total_captures = 23, lone_wolf_captures = 20, prey_survived_step = 5556, predator_distance = 23.71721, avg_predator_distance = 9.842815, predator_proximity_rate = 0.5014399, score = 0.8695652
[Episode 23] [capture] total_captures = 24, lone_wolf_captures = 21, prey_survived_step = 3569, predator_distance = 25.57567, avg_predator_distance = 9.651782, predator_proximity_rate = 0.5183525, score = 0.875
[Episode 24] [capture] total_captures = 25, lone_wolf_captures = 22, prey_survived_step = 913, predator_distance = 21.56382, avg_predator_distance = 30.00553, predator_proximity_rate = 0, score = 0.88
[Episode 25] [capture] total_captures = 26, lone_wolf_captures = 23, prey_survived_step = 3521, predator_distance = 20.03712, avg_predator_distance = 6.666481, predator_proximity_rate = 0.805453, score = 0.8846154
[Episode 26] [capture] total_captures = 27, lone_wolf_captures = 24, prey_survived_step = 1438, predator_distance = 24.80367, avg_predator_distance = 34.26884, predator_proximity_rate = 0, score = 0.8888889
[Episode 27] [capture] total_captures = 28, lone_wolf_captures = 25, prey_survived_step = 1430, predator_distance = 14.01024, avg_predator_distance = 8.471416, predator_proximity_rate = 0.5132867, score = 0.8928571
[Episode 28] [capture] total_captures = 29, lone_wolf_captures = 25, prey_survived_step = 2891, predator_distance = 3.611676, avg_predator_distance = 5.717425, predator_proximity_rate = 0.9830508, score = 0.862069
[Episode 29] [capture] total_captures = 30, lone_wolf_captures = 25, prey_survived_step = 5850, predator_distance = 2.550533, avg_predator_distance = 4.448489, predator_proximity_rate = 1, score = 0.8333333
[Episode 30] [capture] total_captures = 31, lone_wolf_captures = 26, prey_survived_step = 393, predator_distance = 29.4949, avg_predator_distance = 23.43351, predator_proximity_rate = 0, score = 0.8387097
[Episode 31] [capture] total_captures = 32, lone_wolf_captures = 27, prey_survived_step = 349, predator_distance = 22.15647, avg_predator_distance = 21.61941, predator_proximity_rate = 0, score = 0.84375
[Episode 32] [capture] total_captures = 33, lone_wolf_captures = 28, prey_survived_step = 1438, predator_distance = 30.43969, avg_predator_distance = 32.29104, predator_proximity_rate = 0, score = 0.8484849
[Episode 33] [capture] total_captures = 34, lone_wolf_captures = 29, prey_survived_step = 1260, predator_distance = 42.9781, avg_predator_distance = 24.60116, predator_proximity_rate = 0, score = 0.8529412
[Episode 34] [capture] total_captures = 35, lone_wolf_captures = 30, prey_survived_step = 66, predator_distance = 23.93335, avg_predator_distance = 21.02782, predator_proximity_rate = 0, score = 0.8571429
