[Inference] catch_radius_9_team_reward_1
[Episode 0] [capture] total_captures = 1, lone_wolf_captures = 1, prey_survived_step = 93, predator_distance = 30.90545, avg_predator_distance = 29.71963, predator_proximity_rate = 0, score = 1
[Episode 1] [capture] total_captures = 2, lone_wolf_captures = 2, prey_survived_step = 105, predator_distance = 33.51316, avg_predator_distance = 36.1528, predator_proximity_rate = 0, score = 1
[Episode 2] [capture] total_captures = 3, lone_wolf_captures = 3, prey_survived_step = 379, predator_distance = 18.10942, avg_predator_distance = 16.75195, predator_proximity_rate = 0, score = 1
[Episode 3] [capture] total_captures = 4, lone_wolf_captures = 4, prey_survived_step = 109, predator_distance = 27.12766, avg_predator_distance = 27.45768, predator_proximity_rate = 0, score = 1
[Episode 4] [capture] total_captures = 5, lone_wolf_captures = 5, prey_survived_step = 688, predator_distance = 14.48929, avg_predator_distance = 12.32444, predator_proximity_rate = 0.06976745, score = 1
[Episode 5] [capture] total_captures = 6, lone_wolf_captures = 6, prey_survived_step = 213, predator_distance = 24.82839, avg_predator_distance = 25.00724, predator_proximity_rate = 0, score = 1
[Episode 6] [capture] total_captures = 7, lone_wolf_captures = 7, prey_survived_step = 516, predator_distance = 14.32798, avg_predator_distance = 6.563302, predator_proximity_rate = 0.748062, score = 1
[Episode 7] [capture] total_captures = 8, lone_wolf_captures = 7, prey_survived_step = 99, predator_distance = 2.936184, avg_predator_distance = 5.834146, predator_proximity_rate = 1, score = 0.875
[Episode 8] [capture] total_captures = 9, lone_wolf_captures = 8, prey_survived_step = 2124, predator_distance = 18.14878, avg_predator_distance = 11.52135, predator_proximity_rate = 0.3502825, score = 0.8888889
[Episode 9] [capture] total_captures = 10, lone_wolf_captures = 9, prey_survived_step = 467, predator_distance = 33.46634, avg_predator_distance = 21.831, predator_proximity_rate = 0, score = 0.9
[Episode 10] [capture] total_captures = 11, lone_wolf_captures = 10, prey_survived_step = 4638, predator_distance = 30.45054, avg_predator_distance = 25.56197, predator_proximity_rate = 0, score = 0.9090909
[Episode 11] [capture] total_captures = 12, lone_wolf_captures = 11, prey_survived_step = 256, predator_distance = 14.57482, avg_predator_distance = 15.41084, predator_proximity_rate = 0, score = 0.9166667
[Episode 12] [capture] total_captures = 13, lone_wolf_captures = 12, prey_survived_step = 426, predator_distance = 19.03544, avg_predator_distance = 15.24299, predator_proximity_rate = 0, score = 0.9230769
[Episode 13] [capture] total_captures = 14, lone_wolf_captures = 13, prey_survived_step = 67, predator_distance = 28.35378, avg_predator_distance = 29.77611, predator_proximity_rate = 0, score = 0.9285714
[Episode 14] [capture] total_captures = 15, lone_wolf_captures = 14, prey_survived_step = 537, predator_distance = 28.35956, avg_predator_distance = 33.46696, predator_proximity_rate = 0, score = 0.9333333
[Episode 15] [capture] total_captures = 16, lone_wolf_captures = 15, prey_survived_step = 384, predator_distance = 23.37656, avg_predator_distance = 21.9437, predator_proximity_rate = 0, score = 0.9375
[Episode 16] [capture] total_captures = 17, lone_wolf_captures = 16, prey_survived_step = 97, predator_distance = 25.1159, avg_predator_distance = 22.78891, predator_proximity_rate = 0, score = 0.9411765
[Episode 17] [capture] total_captures = 18, lone_wolf_captures = 17, prey_survived_step = 612, predator_distance = 42.40146, avg_predator_distance = 27.50457, predator_proximity_rate = 0, score = 0.9444444
[Episode 18] [capture] total_captures = 19, lone_wolf_captures = 18, prey_survived_step = 848, predator_distance = 18.55417, avg_predator_distance = 30.36536, predator_proximity_rate = 0, score = 0.9473684
[Episode 19] [capture] total_captures = 20, lone_wolf_captures = 19, prey_survived_step = 3065, predator_distance = 8.426668, avg_predator_distance = 12.76314, predator_proximity_rate = 0.360522, score = 0.95
[Episode 20] [capture] total_captures = 21, lone_wolf_captures = 20, prey_survived_step = 216, predator_distance = 36.91848, avg_predator_distance = 37.01138, predator_proximity_rate = 0, score = 0.952381
[Episode 21] [capture] total_captures = 22, lone_wolf_captures = 20, prey_survived_step = 54, predator_distance = 8.545747, avg_predator_distance = 11.23068, predator_proximity_rate = 0.05555556, score = 0.9090909
[Episode 22] [capture] total_captures = 23, lone_wolf_captures = 21, prey_survived_step = 2837, predator_distance = 14.82323, avg_predator_distance = 12.20291, predator_proximity_rate = 0.09517095, score = 0.9130435
