[Inference] sequence_length_32_memory_size_64
[Episode 34] [capture] total_captures = 35, lone_wolf_captures = 30, prey_survived_step = 2400, predator_distance = 4.198461, avg_predator_distance = 12.09969, predator_proximity_rate = 0.3720833, score = 0.8571429
[Episode 35] [capture] total_captures = 36, lone_wolf_captures = 30, prey_survived_step = 188, predator_distance = 6.539712, avg_predator_distance = 15.02472, predator_proximity_rate = 0.1276596, score = 0.8333333
[Episode 36] [capture] total_captures = 37, lone_wolf_captures = 31, prey_survived_step = 680, predator_distance = 12.24268, avg_predator_distance = 4.278532, predator_proximity_rate = 0.8941177, score = 0.8378378
[Episode 37] [capture] total_captures = 38, lone_wolf_captures = 32, prey_survived_step = 2389, predator_distance = 41.61723, avg_predator_distance = 36.07879, predator_proximity_rate = 0, score = 0.8421053
[Episode 38] [capture] total_captures = 39, lone_wolf_captures = 33, prey_survived_step = 9620, predator_distance = 38.79425, avg_predator_distance = 35.44679, predator_proximity_rate = 0, score = 0.8461539
[Episode 39] [capture] total_captures = 40, lone_wolf_captures = 34, prey_survived_step = 1704, predator_distance = 9.683575, avg_predator_distance = 8.119218, predator_proximity_rate = 0.5592723, score = 0.85
[Episode 40] [capture] total_captures = 41, lone_wolf_captures = 35, prey_survived_step = 4951, predator_distance = 18.96199, avg_predator_distance = 4.659133, predator_proximity_rate = 0.8733589, score = 0.8536586
[Episode 41] [capture] total_captures = 42, lone_wolf_captures = 35, prey_survived_step = 1299, predator_distance = 5.737155, avg_predator_distance = 18.10947, predator_proximity_rate = 0.06466512, score = 0.8333333
[Episode 42] [capture] total_captures = 43, lone_wolf_captures = 36, prey_survived_step = 211, predator_distance = 13.00226, avg_predator_distance = 9.653879, predator_proximity_rate = 0.3838862, score = 0.8372093
[Episode 43] [capture] total_captures = 44, lone_wolf_captures = 37, prey_survived_step = 7767, predator_distance = 13.02647, avg_predator_distance = 32.28426, predator_proximity_rate = 0, score = 0.8409091
[Episode 44] [capture] total_captures = 45, lone_wolf_captures = 38, prey_survived_step = 156, predator_distance = 21.78638, avg_predator_distance = 22.9164, predator_proximity_rate = 0, score = 0.8444445
[Episode 45] [capture] total_captures = 46, lone_wolf_captures = 39, prey_survived_step = 451, predator_distance = 15.88655, avg_predator_distance = 21.62542, predator_proximity_rate = 0, score = 0.8478261
[Episode 46] [capture] total_captures = 47, lone_wolf_captures = 40, prey_survived_step = 419, predator_distance = 34.16528, avg_predator_distance = 34.0081, predator_proximity_rate = 0, score = 0.8510638
