episode,capture,lone_wolf_rate,prey_survived_step,average_predator_distance,predator_proximity_rate
0,True,1.0,93,29.71963,0.0
1,True,1.0,105,36.1528,0.0
2,True,1.0,379,16.75195,0.0
3,True,1.0,109,27.45768,0.0
4,True,1.0,688,12.32444,0.06976745
5,True,1.0,213,25.00724,0.0
6,True,1.0,516,6.563302,0.748062
7,True,0.875,99,5.834146,1.0
8,True,0.8888889,2124,11.52135,0.3502825
9,True,0.9,467,21.831,0.0
10,True,0.9090909,4638,25.56197,0.0
11,True,0.9166667,256,15.41084,0.0
12,True,0.9230769,426,15.24299,0.0
13,True,0.9285714,67,29.77611,0.0
14,True,0.9333333,537,33.46696,0.0
15,True,0.9375,384,21.9437,0.0
16,True,0.9411765,97,22.78891,0.0
17,True,0.9444444,612,27.50457,0.0
18,True,0.9473684,848,30.36536,0.0
19,True,0.95,3065,12.76314,0.360522
20,True,0.952381,216,37.01138,0.0
21,True,0.9090909,54,11.23068,0.05555556
22,True,0.9130435,2837,12.20291,0.09517095
23,True,0.9166667,1737,12.17558,0.3655728
24,True,0.88,356,16.90478,0.0
25,True,0.8846154,1661,20.93159,0.0
26,True,0.8888889,1365,27.16664,0.0
27,True,0.8928571,523,15.77598,0.0
28,True,0.8965517,951,32.69667,0.0
29,True,0.9,288,29.93348,0.0
30,True,0.9032258,265,32.04453,0.0
31,True,0.90625,19,17.97323,0.0
32,True,0.9090909,1,22.20318,0.0
33,True,0.9117647,2086,22.75199,0.0
34,True,0.9142857,3883,16.19396,0.0007725985
35,True,0.9166667,313,29.55014,0.0
36,True,0.9189189,39,14.87605,0.0
37,True,0.9210526,597,25.05668,0.0
38,True,0.9230769,1568,5.873713,0.7244898
39,True,0.925,109,16.87469,0.0
40,True,0.9268293,179,15.7517,0.0
41,True,0.9285714,672,7.940011,0.6026786
42,True,0.9302326,68,31.41478,0.0
43,True,0.9318182,203,25.43822,0.0
44,True,0.9333333,251,30.52862,0.0
45,True,0.9347826,225,17.23863,0.0
46,True,0.9361702,137,21.28265,0.0
47,True,0.9166667,228,15.29051,0.0
48,True,0.9183673,377,14.61889,0.0
49,True,0.92,3298,28.42693,0.0
50,True,0.9215686,1348,12.99629,0.0
51,True,0.9230769,87,30.7655,0.0
52,True,0.9056604,324,4.11756,1.0
53,True,0.9074074,153,47.08227,0.0
54,True,0.9090909,188,21.03443,0.0
55,True,0.9107143,436,25.16774,0.0
56,True,0.8947368,396,8.165792,0.5126263
57,True,0.8965517,643,29.75627,0.0
58,True,0.8983051,1593,21.34991,0.0
59,True,0.9,3789,2.753294,0.9815255
60,True,0.9016393,442,29.45812,0.0
61,True,0.9032258,178,15.10142,0.0
62,True,0.9047619,1939,21.53906,0.0
63,True,0.90625,275,32.51767,0.0
64,True,0.9076923,278,31.06135,0.0
65,True,0.8939394,125,10.00355,0.36
66,True,0.8955224,491,15.45602,0.0
67,True,0.8970588,242,33.76763,0.0
68,True,0.8985507,185,24.30308,0.0
69,True,0.9,989,22.31606,0.0
70,True,0.9014084,525,24.69502,0.0
71,True,0.9027778,1245,26.01396,0.0
72,True,0.890411,2970,2.683623,1.0
73,True,0.8783784,29,8.471928,0.7931035
74,True,0.88,641,4.389984,0.8798752
75,True,0.8815789,159,33.25123,0.0
76,True,0.8831169,4511,24.744,0.0
77,True,0.8846154,1,28.17313,0.0
78,True,0.886076,272,23.08243,0.0
79,True,0.875,116,9.764176,0.2155172
80,True,0.8641976,4693,2.567897,1.0
81,True,0.8658537,277,15.21564,0.0
82,True,0.8674699,258,8.203742,0.5930232
83,True,0.8690476,158,21.4582,0.0
84,True,0.8588235,313,9.516043,0.3194888
85,True,0.8604651,148,15.15996,0.0
86,True,0.862069,411,19.5175,0.0
87,True,0.8636364,563,23.47809,0.0
88,True,0.8539326,1763,8.729128,0.5598412
89,True,0.8555555,2128,2.77733,1.0
90,True,0.8571429,1199,12.70964,0.01668057
91,True,0.8586956,294,33.94054,0.0
92,True,0.8602151,359,40.80289,0.0
93,True,0.8617021,3524,27.44441,0.0
94,True,0.8631579,957,30.61534,0.0
95,True,0.8645833,1192,8.7829,0.4236577
96,True,0.8659794,3596,24.85292,0.0
97,True,0.8673469,393,27.00261,0.0
98,True,0.8686869,311,20.80092,0.0
99,True,0.86,259,4.324193,1.0
100,True,0.8613861,212,6.786282,0.8066038
101,True,0.8529412,3966,10.36271,0.5353001
102,True,0.8543689,163,43.49944,0.0
103,True,0.8557692,350,25.22521,0.0
104,True,0.8571429,229,25.8891,0.0
105,True,0.8584906,45,20.36041,0.0
106,True,0.8598131,104,31.19629,0.0
107,True,0.8611111,168,24.42882,0.0
108,True,0.853211,1092,31.9857,0.001831502
109,True,0.8454546,559,16.45904,0.2003578
110,True,0.8468468,396,23.48265,0.0
111,True,0.8482143,553,25.37252,0.0
112,True,0.8495575,1337,31.19902,0.0
113,True,0.8421053,768,2.50543,1.0
114,True,0.8434783,1489,14.61871,0.0
115,True,0.8448276,718,23.51132,0.0
116,True,0.8376068,1825,4.035107,0.8810959
117,True,0.8389831,142,13.20491,0.0
118,True,0.8403361,260,22.28344,0.0
119,True,0.8416666,374,4.033995,0.9839572
120,True,0.8429752,1137,17.49446,0.0
121,True,0.8442623,896,34.58271,0.0
122,True,0.8455285,180,10.94783,0.3611111
123,True,0.8467742,357,19.28471,0.0
124,True,0.848,5203,6.603359,0.6305977
125,True,0.8492063,156,26.47858,0.0
126,True,0.8425197,321,17.82174,0.165109
127,True,0.84375,140,25.90906,0.0
128,True,0.8449612,114,20.56559,0.0
129,True,0.8461539,263,32.19394,0.0
130,True,0.8473282,436,30.30165,0.0
131,True,0.8409091,155,17.2932,0.0
132,True,0.8421053,1081,3.046223,1.0
133,True,0.8432836,206,10.20003,0.0
134,True,0.8444445,436,16.99879,0.0
135,True,0.8382353,1091,4.085186,0.8964253
136,True,0.8394161,0,,
137,True,0.8405797,237,28.86669,0.0
138,True,0.8417266,279,22.85422,0.0
139,True,0.8428571,1448,16.83383,0.0
140,True,0.8439716,366,16.54047,0.0
141,True,0.8450704,690,15.75884,0.0
142,True,0.8461539,270,33.26579,0.0
143,True,0.8402778,7287,5.12191,0.7411829
144,True,0.8413793,153,11.22327,0.0
145,True,0.8424658,2388,19.00061,0.0
146,True,0.8435374,533,25.71716,0.0
147,True,0.8445946,182,30.15982,0.0
148,False,0.8445946,10000,0.971,0.8445946
149,True,0.8456376,107,18.24858,0.0
150,True,0.8466667,234,24.91592,0.0
151,True,0.8476821,4019,5.652191,0.7641204
152,True,0.8486842,414,13.73623,0.0
153,True,0.8431373,250,24.62926,0.0
154,True,0.8441558,36,10.53392,0.0
155,True,0.8451613,2466,13.50168,0.134631
156,True,0.8461539,654,30.21837,0.0
157,True,0.8407643,246,4.195704,1.0
158,True,0.8417721,4612,3.742365,0.937771
159,True,0.8427673,45,8.348172,0.8666667
160,True,0.8375,872,4.966162,0.7993119
161,True,0.8385093,225,31.4712,0.0
162,True,0.8395061,312,27.51366,0.0
163,True,0.8343558,175,4.528976,1.0
164,True,0.8353658,598,23.28485,0.0
165,True,0.8363636,338,13.44763,0.0
166,True,0.8373494,251,34.44334,0.0
167,True,0.8383234,543,33.15246,0.0
168,True,0.8392857,147,29.41374,0.0
169,True,0.8402367,131,14.22953,0.0
170,True,0.8411765,176,22.47167,0.0
171,True,0.8421053,92,33.83247,0.0
172,True,0.8430232,790,18.41982,0.0
173,True,0.8439307,217,22.38084,0.0
174,True,0.8448276,250,33.03288,0.0
175,True,0.84,235,12.41156,0.0
176,True,0.8409091,239,31.8177,0.0
177,True,0.8418079,392,18.71966,0.0
178,True,0.8426966,1516,3.906815,0.9346966
179,True,0.8435754,271,24.76034,0.0
180,True,0.8444445,556,18.34059,0.0
181,True,0.8453039,496,10.12854,0.3245968
182,True,0.8461539,173,31.16933,0.0
183,True,0.8469945,468,5.100279,0.8098291
184,True,0.8478261,305,21.19765,0.0
185,True,0.8486487,142,23.61657,0.0
186,True,0.8440861,5196,2.524176,1.0
187,True,0.8449198,102,35.59278,0.0
188,True,0.8457447,156,17.7221,0.0
189,True,0.8465608,189,17.20525,0.0
190,True,0.8473684,235,25.76659,0.0
191,True,0.8429319,813,25.39547,0.01353014
192,True,0.84375,57,27.538,0.0
193,True,0.8445596,6918,2.493441,0.9965308
194,True,0.8402062,124,5.368498,1.0
195,True,0.8410257,370,25.91436,0.0
196,True,0.8367347,176,9.000256,0.5227273
197,True,0.8324873,1822,2.561199,1.0
198,True,0.8333333,379,30.61752,0.0
199,True,0.8341709,1946,21.00644,0.0
200,True,0.835,198,25.70888,0.0
201,True,0.8358209,534,17.55251,0.0
202,True,0.8316832,1408,4.898055,0.8579546
203,True,0.8325123,411,16.92388,0.0
204,True,0.8333333,84,25.75916,0.0
205,True,0.8341463,557,28.33634,0.0
206,True,0.8349515,34,17.98964,0.0
207,True,0.8357488,2560,27.08068,0.0
208,False,0.8357488,10000,1.0,0.8357488
209,True,0.8365384,2582,16.00172,0.0
210,True,0.8325359,243,16.97713,0.1028807
211,True,0.8333333,151,35.31395,0.0
212,True,0.8341232,1764,19.14172,0.0
213,True,0.8349057,256,32.73188,0.0
214,True,0.8356807,224,13.42596,0.02678571
215,True,0.8364486,1766,19.75342,0.0
216,True,0.8372093,1629,16.26094,0.01964395
217,True,0.8333333,1993,4.257537,0.8740592
218,True,0.8341014,220,5.389163,0.95
219,True,0.8348624,1243,18.23625,0.0
220,True,0.8356164,117,24.4014,0.0
221,True,0.8363636,134,16.63323,0.0
222,True,0.8371041,1436,29.74235,0.0
223,True,0.8378378,152,26.1979,0.0
224,True,0.8385651,112,20.94078,0.0
225,True,0.8392857,2864,3.139916,0.9755586
226,True,0.84,384,22.37429,0.0
227,True,0.840708,5840,9.24977,0.65
228,True,0.8414097,636,28.05157,0.0
229,True,0.8377193,227,14.27419,0.1277533
230,True,0.838428,441,21.9641,0.0
231,True,0.8391305,2562,30.76469,0.0
232,True,0.8354979,1503,4.498313,0.8895542
233,True,0.8362069,154,22.83438,0.0
234,True,0.832618,1890,2.953064,1.0
235,True,0.8333333,547,22.78378,0.0
236,True,0.8340425,197,32.45049,0.0
237,True,0.8347458,2657,16.34705,0.1234475
238,True,0.835443,221,23.52613,0.0
239,True,0.8361344,111,22.38081,0.0
240,True,0.8368201,432,27.39397,0.0
241,True,0.8375,1158,15.10831,0.0
242,True,0.8381743,4309,2.879801,0.9626364
243,True,0.8347107,367,16.27287,0.0
244,True,0.8353909,506,18.54957,0.0
245,True,0.8360656,4935,14.99527,0.0
246,True,0.832653,1833,13.20647,0.3066012
247,True,0.8292683,685,22.35486,0.001459854
248,True,0.8299595,138,44.56361,0.0
249,True,0.8306451,125,29.64122,0.0
