[Inference] gamma_0950
[Episode 34] [capture] total_captures = 34, lone_wolf_captures = 28, prey_survived_step = 2376, predator_distance = 23.4631, avg_predator_distance = 39.5726, predator_proximity_rate = 0, score = 0.8235294
[Episode 35] [capture] total_captures = 35, lone_wolf_captures = 29, prey_survived_step = 1154, predator_distance = 14.38785, avg_predator_distance = 11.02421, predator_proximity_rate = 0.5147313, score = 0.8285714
[Episode 36] [capture] total_captures = 36, lone_wolf_captures = 30, prey_survived_step = 780, predator_distance = 19.72366, avg_predator_distance = 16.22467, predator_proximity_rate = 0.1115385, score = 0.8333333
[Episode 37] [capture] total_captures = 37, lone_wolf_captures = 31, prey_survived_step = 453, predator_distance = 22.06651, avg_predator_distance = 29.01236, predator_proximity_rate = 0, score = 0.8378378
[Episode 38] [capture] total_captures = 38, lone_wolf_captures = 32, prey_survived_step = 321, predator_distance = 17.78389, avg_predator_distance = 18.44323, predator_proximity_rate = 0, score = 0.8421053
[Episode 39] [capture] total_captures = 39, lone_wolf_captures = 33, prey_survived_step = 680, predator_distance = 17.60772, avg_predator_distance = 28.07708, predator_proximity_rate = 0, score = 0.8461539
[Episode 40] [capture] total_captures = 40, lone_wolf_captures = 34, prey_survived_step = 2228, predator_distance = 37.71864, avg_predator_distance = 24.37914, predator_proximity_rate = 0, score = 0.85
[Episode 41] [capture] total_captures = 41, lone_wolf_captures = 35, prey_survived_step = 1688, predator_distance = 30.80576, avg_predator_distance = 21.30956, predator_proximity_rate = 0, score = 0.8536586
[Episode 42] [capture] total_captures = 42, lone_wolf_captures = 36, prey_survived_step = 460, predator_distance = 15.54276, avg_predator_distance = 20.40219, predator_proximity_rate = 0, score = 0.8571429
[Episode 43] [capture] total_captures = 43, lone_wolf_captures = 36, prey_survived_step = 149, predator_distance = 9.343579, avg_predator_distance = 18.80671, predator_proximity_rate = 0, score = 0.8372093
[Episode 44] [capture] total_captures = 44, lone_wolf_captures = 37, prey_survived_step = 1557, predator_distance = 13.44851, avg_predator_distance = 19.6996, predator_proximity_rate = 0, score = 0.8409091
[Episode 45] [capture] total_captures = 45, lone_wolf_captures = 38, prey_survived_step = 4435, predator_distance = 42.1895, avg_predator_distance = 21.39663, predator_proximity_rate = 0.2126268, score = 0.8444445
