episode,capture,lone_wolf_rate,prey_survived_step,average_predator_distance,predator_proximity_rate
0,True,1.0,105,27.69309,0.0
1,True,0.5,4115,3.817457,0.9803159
2,True,0.6666667,338,21.34319,0.0
3,True,0.75,181,31.40523,0.0
4,True,0.8,35,19.4664,0.0
5,True,0.8333333,2772,12.85965,0.5804473
6,True,0.8571429,247,32.73336,0.0
7,True,0.875,1392,21.85368,0.0
8,True,0.8888889,823,16.07153,0.0
9,True,0.9,522,21.8595,0.0
10,True,0.8181818,1012,4.495828,0.958498
11,True,0.8333333,1336,37.07605,0.0
12,True,0.8461539,71,38.26981,0.0
13,True,0.8571429,1239,7.965587,0.5948346
14,True,0.8666667,2457,4.392622,0.9503459
15,True,0.875,436,34.22189,0.0
16,True,0.8823529,589,20.10194,0.0
17,True,0.8888889,1012,6.223898,0.8122529
18,True,0.8947368,681,26.92689,0.0
19,True,0.9,3334,4.016593,0.9904019
20,True,0.9047619,1800,26.65204,0.0
21,True,0.9090909,259,28.98934,0.0
22,True,0.9130435,42,23.07615,0.0
23,True,0.9166667,355,20.60639,0.0
24,True,0.92,223,32.15955,0.0
25,True,0.9230769,963,30.49847,0.0
26,True,0.9259259,760,25.44551,0.0
27,True,0.9285714,159,25.63464,0.0
28,True,0.9310345,166,25.31844,0.0
29,True,0.9333333,789,28.54856,0.0
30,True,0.9354839,4438,7.074507,0.7877422
31,True,0.9375,1238,17.56083,0.0
32,True,0.9393939,186,25.1891,0.0
33,True,0.9411765,95,17.75823,0.0
34,True,0.9428571,173,27.38494,0.0
35,True,0.9444444,4359,8.21832,0.661849
36,True,0.9459459,867,22.16475,0.0
37,True,0.9473684,1129,5.289399,0.8919398
38,True,0.948718,705,16.14623,0.0
39,True,0.95,314,18.33429,0.0
40,True,0.9512195,8547,4.822341,0.9035919
41,True,0.952381,1965,29.14119,0.0
42,True,0.9534883,209,21.37551,0.0
43,True,0.9545454,1080,24.76842,0.0
44,True,0.9555556,585,18.68023,0.0
45,True,0.9565217,224,36.05884,0.0
46,True,0.9574468,2129,14.15773,0.3945514
47,True,0.9583333,737,20.69896,0.0
48,True,0.9591837,368,13.00177,0.0
49,True,0.96,3326,10.61919,0.4855683
50,True,0.9607843,1332,22.33016,0.0
51,True,0.9615384,63,24.94428,0.0
52,True,0.9622642,1869,24.4139,0.0
53,True,0.9444444,3657,12.80641,0.2551272
54,True,0.9454545,486,24.40409,0.0
55,True,0.9464286,1626,18.6655,0.0
56,True,0.9473684,2401,17.6401,0.0
57,True,0.9482759,991,16.9925,0.0
58,True,0.9491525,76,13.41894,0.0
59,True,0.95,842,18.39189,0.09501188
60,True,0.9508197,645,30.36048,0.0
61,True,0.9516129,634,38.34593,0.0
62,True,0.952381,142,22.57767,0.0
63,True,0.953125,520,20.82875,0.0
64,True,0.9384615,990,4.850291,0.8808081
65,True,0.9393939,338,22.60567,0.0
66,True,0.9402985,205,28.4868,0.0
