episode,capture,lone_wolf_rate,prey_survived_step,average_predator_distance,predator_proximity_rate
0,True,1.0,145,29.99774,0.0
1,True,1.0,2453,11.78157,0.265797
2,True,1.0,1394,22.86447,0.0
3,True,1.0,455,26.82779,0.0
4,True,1.0,236,14.61078,0.0
5,True,1.0,82,15.82795,0.0
6,True,1.0,62,18.08871,0.0
7,True,1.0,2185,21.21155,0.0
8,True,1.0,314,22.96391,0.0
9,True,1.0,258,9.69245,0.2635659
10,True,0.9090909,4960,6.444417,0.8292339
11,True,0.9166667,485,23.48542,0.0
12,True,0.9230769,1118,21.03925,0.0
13,True,0.9285714,337,12.41762,0.3946587
14,True,0.8666667,870,16.27623,0.3482759
15,True,0.875,1957,17.97006,0.0
16,True,0.8823529,3352,17.43033,0.274463
17,True,0.8888889,6670,10.03561,0.4628186
18,True,0.8947368,9092,13.60319,0.1472723
19,True,0.9,2495,32.71107,0.0
20,True,0.8571429,739,27.06996,0.08525034
21,True,0.8636364,161,12.82614,0.2857143
22,True,0.8695652,5556,9.842815,0.5014399
23,True,0.875,3569,9.651782,0.5183525
24,True,0.88,913,30.00553,0.0
25,True,0.8846154,3521,6.666481,0.805453
26,True,0.8888889,1438,34.26884,0.0
27,True,0.8928571,1430,8.471416,0.5132867
28,True,0.862069,2891,5.717425,0.9830508
29,True,0.8333333,5850,4.448489,1.0
30,True,0.8387097,393,23.43351,0.0
31,True,0.84375,349,21.61941,0.0
32,True,0.8484849,1438,32.29104,0.0
33,True,0.8529412,1260,24.60116,0.0
34,True,0.8571429,66,21.02782,0.0
35,True,0.8611111,734,35.54703,0.0
36,True,0.8648649,148,31.03351,0.0
37,True,0.8684211,2802,21.2093,0.0
38,True,0.8461539,1943,5.057192,1.0
39,True,0.85,109,28.30894,0.0
40,True,0.8536586,406,29.90584,0.0
41,True,0.8571429,109,26.47787,0.0
42,True,0.8372093,2099,6.25877,0.8813721
43,True,0.8409091,370,29.25217,0.0
44,True,0.8444445,593,6.166679,0.8954469
45,True,0.8478261,5,11.96737,0.0
46,True,0.8297873,1457,5.045832,1.0
47,True,0.8333333,152,10.06681,0.2171053
48,True,0.8367347,824,37.39872,0.0
49,True,0.84,475,33.54793,0.0
50,True,0.8431373,3528,6.776636,0.7627551
51,True,0.8461539,1,17.66615,0.0
52,True,0.8490566,225,14.25649,0.0
53,True,0.8518519,161,30.52064,0.0
54,True,0.8545455,929,16.20658,0.0
55,True,0.8571429,446,16.50163,0.0
56,True,0.8596491,343,12.58506,0.0
57,True,0.862069,655,19.10909,0.0
58,True,0.8644068,2816,9.847605,0.6083097
59,True,0.85,1611,6.480732,0.8292986
60,True,0.852459,873,23.09048,0.0
61,True,0.8548387,354,14.85391,0.0
62,True,0.8571429,386,21.25221,0.0
63,True,0.859375,1110,22.90623,0.0
64,True,0.8615385,4545,7.034059,0.690429
65,True,0.8484849,787,17.90241,0.02541296
66,True,0.8358209,99,13.91559,0.0
67,True,0.8235294,1,4.917621,1.0
68,True,0.8260869,507,36.0832,0.0
69,True,0.8285714,547,27.41486,0.0
70,True,0.8169014,1225,10.07236,0.3338776
71,True,0.8194444,5809,9.38462,0.4486142
72,True,0.8219178,261,19.38045,0.0
73,True,0.8243243,1943,8.710029,0.4889346
74,True,0.8266667,149,19.0011,0.0
75,True,0.8289474,169,22.02759,0.0
76,True,0.8311688,762,21.68147,0.0
77,True,0.8333333,462,24.58228,0.0
78,True,0.835443,1684,6.835243,0.7802851
79,True,0.825,1265,5.977753,0.8766798
80,True,0.8271605,1441,24.89135,0.0
81,True,0.8292683,3266,22.56653,0.0
82,True,0.8192771,957,17.66563,0.05329154
83,True,0.8214286,158,18.07002,0.0
84,True,0.8235294,838,35.36969,0.0
85,True,0.8255814,147,28.1845,0.0
86,True,0.8275862,583,8.282026,0.5643225
87,True,0.8295454,1,22.47283,0.0
88,True,0.8314607,246,28.09035,0.0
89,True,0.8333333,4075,4.586735,0.9619632
90,True,0.8351648,2624,21.00599,0.01829268
91,True,0.8369565,242,15.86814,0.0
92,True,0.8387097,385,27.27666,0.0
93,True,0.8297873,7372,4.484527,0.9605263
94,True,0.8210526,1244,6.52263,0.7652733
95,True,0.8229167,7536,5.043093,0.9790339
96,True,0.8247423,290,31.24542,0.0
97,True,0.8163266,895,8.799037,0.6312849
98,True,0.8080808,2507,12.29556,0.2728361
99,True,0.81,127,27.39166,0.0
100,False,0.81,10000,1.0,0.81
101,True,0.8118812,1454,9.604282,0.3555709
102,True,0.8039216,631,4.904513,1.0
103,True,0.8058252,909,18.74351,0.0
104,True,0.8076923,1849,14.42403,0.03731747
105,True,0.8095238,929,18.46191,0.0
106,True,0.8113208,130,21.15609,0.0
107,True,0.8130841,804,36.57135,0.0
108,True,0.8148148,345,26.90975,0.0
109,True,0.8165138,3209,24.2148,0.0
110,True,0.8181818,376,25.5325,0.0
111,True,0.8198198,1471,29.33341,0.0
112,True,0.8214286,2578,23.21478,0.0
113,True,0.8230088,451,18.34882,0.0
114,True,0.8245614,432,24.93619,0.0
115,True,0.8260869,1571,19.85002,0.0
116,True,0.8275862,843,4.967344,1.0
117,True,0.8290598,648,29.77145,0.0
118,True,0.8305085,231,22.15443,0.0
119,True,0.8319328,4676,7.946132,0.6541916
120,True,0.8333333,2201,31.79896,0.0
121,True,0.8347107,1950,14.86713,0.05846154
122,True,0.8360656,40,26.40781,0.0
123,True,0.8373984,167,27.11602,0.0
124,True,0.8387097,1489,17.54629,0.1376763
125,True,0.84,6643,6.252423,0.8353153
126,True,0.8412699,341,22.48258,0.0
127,True,0.8425197,2721,19.38259,0.0
