[Inference] c9_r2
[Episode 35] [capture] total_captures = 35, lone_wolf_captures = 31, prey_survived_step = 836, predator_distance = 5.491407, avg_predator_distance = 14.37721, predator_proximity_rate = 0.1602871, score = 0.8857143
[Episode 36] [capture] total_captures = 36, lone_wolf_captures = 32, prey_survived_step = 274, predator_distance = 32.11599, avg_predator_distance = 26.24539, predator_proximity_rate = 0, score = 0.8888889
[Episode 37] [capture] total_captures = 37, lone_wolf_captures = 33, prey_survived_step = 635, predator_distance = 36.30617, avg_predator_distance = 31.53969, predator_proximity_rate = 0, score = 0.8918919
[Episode 38] [capture] total_captures = 38, lone_wolf_captures = 34, prey_survived_step = 68, predator_distance = 18.22266, avg_predator_distance = 19.83244, predator_proximity_rate = 0, score = 0.8947368
[Episode 39] [capture] total_captures = 39, lone_wolf_captures = 35, prey_survived_step = 248, predator_distance = 35.29413, avg_predator_distance = 35.45879, predator_proximity_rate = 0, score = 0.8974359
[Episode 40] [capture] total_captures = 40, lone_wolf_captures = 36, prey_survived_step = 524, predator_distance = 36.90439, avg_predator_distance = 30.72559, predator_proximity_rate = 0, score = 0.9
[Episode 41] [capture] total_captures = 41, lone_wolf_captures = 37, prey_survived_step = 1406, predator_distance = 15.10439, avg_predator_distance = 29.5247, predator_proximity_rate = 0, score = 0.902439
[Episode 42] [capture] total_captures = 42, lone_wolf_captures = 38, prey_survived_step = 4319, predator_distance = 15.77883, avg_predator_distance = 4.016894, predator_proximity_rate = 0.8976615, score = 0.9047619
[Episode 43] [capture] total_captures = 43, lone_wolf_captures = 39, prey_survived_step = 238, predator_distance = 26.19359, avg_predator_distance = 26.68242, predator_proximity_rate = 0, score = 0.9069768
[Episode 44] [capture] total_captures = 44, lone_wolf_captures = 39, prey_survived_step = 2050, predator_distance = 3.675782, avg_predator_distance = 7.871875, predator_proximity_rate = 0.5980488, score = 0.8863636
[Episode 45] [capture] total_captures = 45, lone_wolf_captures = 40, prey_survived_step = 307, predator_distance = 36.17558, avg_predator_distance = 31.76945, predator_proximity_rate = 0, score = 0.8888889
[Episode 46] [capture] total_captures = 46, lone_wolf_captures = 41, prey_survived_step = 1840, predator_distance = 17.89749, avg_predator_distance = 14.33401, predator_proximity_rate = 0.4369565, score = 0.8913044
[Episode 47] [capture] total_captures = 47, lone_wolf_captures = 42, prey_survived_step = 625, predator_distance = 19.41338, avg_predator_distance = 24.82103, predator_proximity_rate = 0, score = 0.893617
[Episode 48] [capture] total_captures = 48, lone_wolf_captures = 43, prey_survived_step = 2419, predator_distance = 25.29758, avg_predator_distance = 15.54384, predator_proximity_rate = 0.2860686, score = 0.8958333
[Episode 49] [capture] total_captures = 49, lone_wolf_captures = 43, prey_survived_step = 2431, predator_distance = 3.702325, avg_predator_distance = 5.372772, predator_proximity_rate = 0.7865076, score = 0.877551
[Episode 50] [capture] total_captures = 50, lone_wolf_captures = 44, prey_survived_step = 415, predator_distance = 33.26534, avg_predator_distance = 30.80697, predator_proximity_rate = 0, score = 0.88
[Episode 51] [capture] total_captures = 51, lone_wolf_captures = 45, prey_survived_step = 1421, predator_distance = 24.64784, avg_predator_distance = 25.85495, predator_proximity_rate = 0, score = 0.8823529
[Episode 52] [capture] total_captures = 52, lone_wolf_captures = 46, prey_survived_step = 3378, predator_distance = 9.000269, avg_predator_distance = 10.68982, predator_proximity_rate = 0.410598, score = 0.8846154
[Episode 53] [capture] total_captures = 53, lone_wolf_captures = 47, prey_survived_step = 222, predator_distance = 13.22032, avg_predator_distance = 14.09752, predator_proximity_rate = 0, score = 0.8867925
[Episode 54] [capture] total_captures = 54, lone_wolf_captures = 48, prey_survived_step = 1102, predator_distance = 33.38942, avg_predator_distance = 27.81739, predator_proximity_rate = 0, score = 0.8888889
[Episode 55] [capture] total_captures = 55, lone_wolf_captures = 49, prey_survived_step = 920, predator_distance = 14.05664, avg_predator_distance = 21.96422, predator_proximity_rate = 0, score = 0.8909091
[Episode 56] [capture] total_captures = 56, lone_wolf_captures = 50, prey_survived_step = 1146, predator_distance = 35.76299, avg_predator_distance = 34.12167, predator_proximity_rate = 0, score = 0.8928571
[Episode 57] [capture] total_captures = 57, lone_wolf_captures = 51, prey_survived_step = 3409, predator_distance = 8.120163, avg_predator_distance = 7.358449, predator_proximity_rate = 0.5919625, score = 0.8947368
[Episode 58] [capture] total_captures = 58, lone_wolf_captures = 52, prey_survived_step = 506, predator_distance = 23.43791, avg_predator_distance = 20.55667, predator_proximity_rate = 0, score = 0.8965517
