epsode,capture,total_captures,lone_wolf_captures,prey_survived_step,predator_distance,avg_predator_distance,predator_proximity_rate,score,capture_x,capture_z,catcher_predator_x,catcher_predator_z,other_predator_x,other_predator_z
0,True,1,1,3072,77.38975,51.24169,0.0,1.0,68.83676,-2.796204,68.21513,-4.489235,15.65549,-61.2929
1,True,2,1,2662,8.648796,12.85984,0.5845229,0.5,4.229881,-24.00204,4.594368,-22.17027,12.82306,-19.50957
2,True,3,2,5074,74.26093,41.42165,0.01616082,0.6666667,68.62889,-67.97537,66.86963,-67.88721,14.51464,-15.2221
3,True,4,3,5902,59.92937,50.27349,0.0,0.75,68.60857,-3.020988,66.9577,-2.462074,22.45699,-42.60183
4,True,5,4,11842,75.81603,35.09441,0.04830265,0.8,2.736519,-67.88551,2.930336,-66.18855,51.59598,-8.053444
5,True,6,5,9598,48.46966,40.31716,0.01667014,0.8333333,2.865265,-2.794701,3.151558,-4.523705,42.19508,-33.24314
6,True,7,6,3978,53.23492,46.99585,0.0,0.8571429,68.6044,-68.11625,67.0354,-67.37994,46.82271,-18.13245
7,True,8,6,8122,2.359729,27.1433,0.03816794,0.75,47.13438,-60.32111,45.77251,-60.8047,46.53253,-58.57071
8,True,9,7,5924,67.05653,33.8602,0.3450371,0.7777778,69.25774,-2.804611,69.09464,-4.558975,7.771301,-31.68821
9,True,10,8,6776,54.25732,42.78255,0.02804014,0.8,2.797714,-2.788017,3.001282,-4.533058,51.29993,-29.25143
10,True,11,9,15834,47.8414,45.39347,0.04837691,0.8181818,3.290459,-68.29461,5.049698,-67.86842,52.53822,-62.0769
11,True,12,10,5660,31.21172,33.14916,0.145583,0.8333333,68.62923,-2.129021,66.86836,-2.268974,62.83521,-33.21846
12,True,13,11,3602,26.24436,32.42958,0.0,0.8461539,68.61398,-68.15547,67.00668,-67.42815,53.57848,-44.88108
13,True,14,11,8212,1.104608,42.08297,0.1000974,0.7857143,68.91275,-67.92803,67.73616,-66.63807,68.68079,-66.06562
14,True,15,12,1730,21.25454,26.95152,0.0,0.8,68.59781,-60.74778,66.97884,-61.30721,48.49232,-50.81975
15,True,16,13,2664,58.04904,46.52109,0.1006006,0.8125,3.289742,-2.445816,4.972839,-2.878807,54.13989,-33.73674
16,True,17,14,2850,36.32333,31.1509,0.0168421,0.8235294,56.9326,-61.92069,55.19461,-62.10922,61.46613,-26.33147
17,True,18,15,10914,54.1614,17.41993,0.4504306,0.8333333,68.59953,-68.0642,67.09158,-67.21374,44.56564,-17.95979
18,True,18,15,20000,0,45.5555,0.0,0.8333333,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,True,19,16,4144,52.96054,38.1715,0.0,0.8421053,56.59267,-52.95314,54.79813,-52.69886,33.19849,-4.343628
20,True,19,16,20000,0,32.30634,0.1413,0.8421053,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
21,True,20,17,9588,67.87184,32.50268,0.1967042,0.85,3.299171,-2.553482,5.00145,-3.137886,43.93554,-58.73159
22,True,21,17,12402,1.657109,32.3591,0.04160619,0.8095238,41.42413,-27.93591,42.70467,-26.84224,43.37107,-28.35941
23,True,21,17,20000,0,37.18322,0.0,0.8095238,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
24,True,22,17,3308,4.689726,19.0811,0.06650544,0.7727273,17.96726,-21.9835,19.56425,-20.72346,15.53864,-23.12906
25,True,23,17,8128,6.453123,12.30925,0.6592028,0.7391304,68.62404,-2.773895,66.87328,-2.89933,60.61632,-4.474487
26,True,24,18,5004,46.86785,43.09082,0.0,0.75,68.64436,-57.17875,66.91946,-57.18806,57.83012,-11.21004
27,True,24,18,20000,0,34.94771,0.0281,0.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
