epsode,capture,total_captures,lone_wolf_captures,prey_survived_step,predator_distance,avg_predator_distance,predator_proximity_rate,score,capture_x,capture_z,catcher_predator_x,catcher_predator_z,other_predator_x,other_predator_z
65,True,60,50,3120,37.9236,30.22765,0.0,0.8333333,38.87459,-2.804321,40.07898,-4.152008,52.0901,-40.12327
66,True,61,51,64,50.67544,51.50726,0.0,0.8360656,59.92648,-32.81338,60.54381,-31.11322,16.12646,-55.50784
67,True,62,52,7512,27.92002,13.28391,0.4986688,0.8387097,10.65836,-43.11734,12.47858,-43.20619,25.37946,-18.44549
68,True,63,53,3774,30.09693,25.5218,0.0,0.8412699,10.42484,-67.87606,12.23045,-67.76302,38.24774,-52.63365
69,True,64,54,1242,28.16821,44.17566,0.0,0.84375,52.50826,-27.23515,53.33508,-28.80642,27.00902,-18.78758
70,True,65,55,2068,24.64598,25.22842,0.0,0.8461539,68.61407,-37.99705,67.36783,-36.73167,59.61292,-60.12566
71,True,66,55,13586,2.7985,22.38857,0.340792,0.8333333,55.27419,-46.75827,54.87683,-44.93707,53.37079,-47.29572
72,True,67,56,6542,42.20951,32.74223,0.0,0.8358209,61.67468,-13.40546,62.15002,-15.14726,21.2076,-25.41182
73,True,68,57,1676,19.88421,15.72432,0.0,0.8382353,68.58109,-20.52787,67.82747,-22.24046,53.14835,-35.65308
74,True,69,58,7178,21.24799,35.42324,0.0,0.8405797,63.09544,-67.8859,63.77425,-66.27661,46.84001,-53.44408
75,True,70,59,15882,37.47293,12.55652,0.6832892,0.8428571,3.304619,-20.71774,4.986389,-20.0642,29.46883,-48.43374
76,True,71,60,15182,56.92039,27.0461,0.1405612,0.8450704,3.315613,-68.27398,4.779289,-67.25571,47.93843,-30.14581
77,True,72,61,5002,31.27485,19.7105,0.2938825,0.8472222,47.88026,-67.99246,49.60202,-67.35021,51.63205,-36.14169
78,True,73,61,11010,5.133988,8.600496,0.8021798,0.8356164,68.75517,-22.94427,68.1243,-24.67031,63.36906,-26.60506
79,True,74,61,1138,2.496323,29.93093,0.1247803,0.8243243,49.21838,-27.96544,47.85919,-26.88646,47.66127,-29.37493
80,True,75,62,1442,41.39442,42.5208,0.0,0.8266667,62.24493,-23.4421,61.21988,-24.85067,27.88786,-49.39597
81,True,76,63,1210,18.93848,33.33009,0.0,0.8289474,45.18887,-46.58929,45.03697,-48.13869,26.35152,-51.22304
82,True,77,64,1194,52.2037,40.45596,0.0,0.8311688,57.21867,-36.06984,55.75215,-35.18239,5.607384,-20.66599
83,True,78,65,3590,14.93602,16.13135,0.4350975,0.8333333,53.88747,-53.42769,53.67242,-51.76,54.38034,-36.84139
84,True,79,66,1292,30.75917,37.76991,0.0,0.835443,67.9165,-33.91881,66.10184,-33.72389,67.56833,-64.44788
85,True,80,67,642,19.69705,17.21309,0.0,0.8375,35.76743,-13.95051,34.76607,-15.42633,40.67592,-34.21564
86,True,81,68,8180,72.41576,22.75337,0.3339853,0.8395061,3.315163,-64.63575,4.827057,-65.56985,52.47841,-11.04118
87,True,81,68,20000,0,28.10065,0.2106,0.8395061,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
