epsode,capture,total_captures,lone_wolf_captures,prey_survived_step,predator_distance,avg_predator_distance,predator_proximity_rate,score,capture_x,capture_z,catcher_predator_x,catcher_predator_z,other_predator_x,other_predator_z
115,True,110,101,3782,39.77036,29.14194,0.2194606,0.9181818,4.151566,-10.68501,3.002579,-12.02034,42.59367,-15.78345
116,True,111,102,1950,68.35468,51.50763,0.0,0.9189189,23.21745,-10.59438,23.45158,-12.39925,68.6846,-63.64693
117,True,112,103,4426,58.48976,49.3354,0.0,0.9196429,35.1666,-55.29292,36.73399,-54.40223,64.18275,-2.753296
118,True,113,104,1684,22.80301,15.00535,0.3218527,0.920354,25.49062,-3.404663,27.31961,-3.310699,27.09728,-26.1119
119,True,114,105,9504,50.71146,24.02822,0.4772727,0.9210526,55.47517,-2.737885,53.8531,-3.586266,3.225723,-6.500908
120,True,114,105,20000,0,74.51006,0.0095,0.9210526,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
121,True,115,106,6872,51.06447,41.54315,0.09575088,0.9217391,57.48337,-54.22755,55.76639,-53.72038,59.10014,-2.765228
122,True,116,107,1706,56.32955,33.02766,0.04923799,0.9224138,3.31694,-67.91066,4.819931,-67.23367,32.10902,-17.95613
123,True,117,108,4742,38.52704,23.9372,0.1429776,0.9230769,56.26653,-31.62305,55.49109,-32.77384,31.32813,-2.766388
124,True,118,109,2926,64.37459,34.35729,0.1886535,0.9237288,8.547775,-2.575012,10.39631,-2.871109,64.64998,-37.52076
125,True,118,109,20000,0,57.89914,0.0,0.9237288,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
126,True,119,110,6466,47.5108,47.64129,0.0,0.9243698,44.33415,-41.0155,45.46355,-39.66681,7.275856,-67.93204
127,True,119,110,20000,0,31.48936,0.1709,0.9243698,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
128,True,120,111,18742,64.25431,35.90035,0.0725643,0.925,67.9973,-13.98473,66.87439,-15.07343,3.226448,-6.268158
129,True,121,112,690,38.45403,42.61022,0.0,0.9256198,33.66599,-36.91078,34.83827,-36.12944,12.12661,-5.099243
130,True,122,113,13832,56.59204,54.00793,0.0,0.9262295,9.409378,-67.97684,7.710052,-67.23313,51.33282,-31.18279
131,True,123,114,1808,55.24826,20.54596,0.4867257,0.9268293,68.66103,-63.0904,68.5457,-61.26926,43.08174,-12.23944
132,True,123,114,20000,0,42.05581,0.04,0.9268293,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
133,True,124,115,10076,41.19315,25.16887,0.2373958,0.9274194,39.12019,-36.0782,39.92686,-34.42367,68.67967,-63.92081
134,True,124,115,20000,0,51.88475,0.0386,0.9274194,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
135,True,125,116,894,19.93493,37.06587,0.0,0.928,48.11183,-2.780586,48.25303,-4.528069,32.9494,-17.30306
136,True,126,117,1314,71.66474,49.60755,0.0,0.9285714,68.83571,-13.40936,66.81126,-13.68321,11.63793,-59.41869
137,True,127,118,4190,39.84731,27.498,0.2295943,0.9291338,33.17424,-68.5247,34.97646,-68.48929,26.8095,-29.48908
138,True,128,119,9206,19.38719,33.70826,0.02867695,0.9296875,55.25099,-50.55108,55.17081,-48.74141,68.65488,-62.66805
139,True,129,120,18080,66.94382,36.8064,0.06603982,0.9302326,37.2462,-2.771797,37.5324,-4.483742,68.67581,-63.74205
140,True,130,121,3150,36.0162,38.09013,0.0,0.9307692,44.47321,-67.88636,44.45476,-66.11247,55.3259,-31.77623
141,True,131,121,530,1.425543,11.56276,0.4301887,0.9236641,55.02135,-47.92244,53.28418,-47.60811,52.5937,-48.85527
142,True,131,121,20000,0,31.23491,0.1365,0.9236641,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
143,True,131,121,20000,0,38.03099,0.0259,0.9236641,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
