epsode,capture,total_captures,lone_wolf_captures,prey_survived_step,predator_distance,avg_predator_distance,predator_proximity_rate,score,capture_x,capture_z,catcher_predator_x,catcher_predator_z,other_predator_x,other_predator_z
0,True,1,1,12200,64.00813,46.64764,0.07393443,1.0,68.60043,-66.50739,67.24884,-67.72684,26.05437,-18.73691
1,True,2,2,6308,35.22548,32.10032,0.0,1.0,2.795853,-2.783356,3.021271,-4.560577,27.15159,-30.22109
2,True,3,2,3730,3.478867,33.46964,0.08847185,0.6666667,3.745171,-2.670174,5.693199,-2.860641,3.240227,-5.327217
3,True,4,3,4422,88.57801,48.27348,0.0,0.75,69.18291,-3.518707,68.9001,-5.421829,6.184448,-67.97424
4,True,5,4,6540,47.51412,34.0593,0.1987768,0.8,68.62418,-68.08923,66.87619,-68.16168,61.07561,-21.0033
5,True,6,5,9120,59.51666,32.6132,0.0,0.8333333,4.079346,-2.252357,5.994827,-2.602333,65.51123,-2.727776
6,True,7,6,5714,53.24829,36.6608,0.07105355,0.8571429,3.272087,-2.280174,5.015953,-2.454048,30.02541,-49.46331
7,True,7,6,20000,0,51.25179,0.0,0.8571429,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,True,8,7,8748,49.97525,37.35493,0.1147691,0.875,3.280037,-68.35677,5.037361,-68.05781,23.27969,-21.53153
9,True,8,7,20000,0,17.40783,0.418,0.875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,True,9,8,2048,43.34806,30.36475,0.1757813,0.8888889,66.41998,-67.12541,66.66577,-65.1834,36.58443,-33.9722
11,True,9,8,20000,0,29.47417,0.1167,0.8888889,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,True,10,9,11626,44.73762,15.52104,0.7383451,0.9,2.662415,-2.809647,2.925285,-4.569107,45.46266,-18.42209
13,True,11,9,1244,4.631484,27.83004,0.2138264,0.8181818,44.67442,-41.74682,46.64514,-42.31987,42.30646,-40.69931
14,True,12,10,4690,30.51356,41.17833,0.0,0.8333333,68.92081,-2.791237,68.47092,-4.576752,45.96449,-25.18007
15,True,13,11,3476,35.13204,34.65881,0.0,0.8461539,44.37392,-3.453613,44.71381,-5.476479,14.47564,-23.36258
16,True,14,12,6134,57.2291,37.00061,0.0,0.8571429,3.276085,-68.40693,4.997398,-68.15287,20.91853,-13.18332
17,True,15,13,6648,60.79929,13.59411,0.5297834,0.8666667,3.95256,-68.50426,5.9086,-68.32295,53.76547,-30.8238
18,True,16,14,3140,30.91128,13.70961,0.6038216,0.875,9.635834,-26.70509,11.41562,-26.90376,42.07368,-22.95531
19,True,17,15,19110,55.75319,42.65929,0.0,0.8823529,68.59676,-66.87623,67.18027,-67.96867,43.08371,-17.69267
20,True,18,16,14990,22.11593,33.2911,0.0341561,0.8888889,3.294174,-68.55141,5.011169,-68.33578,5.140114,-46.22144
21,True,19,17,8624,21.15161,47.40464,0.05194805,0.8947368,3.270615,-68.44738,5.066055,-68.26882,3.902718,-47.14982
