epsode,capture,total_captures,lone_wolf_captures,prey_survived_step,predator_distance,avg_predator_distance,predator_proximity_rate,score,capture_x,capture_z,catcher_predator_x,catcher_predator_z,other_predator_x,other_predator_z
0,True,1,1,11712,30.23058,35.37378,0.03722678,1.0,54.89243,-45.21627,52.97238,-44.5116,37.87039,-18.32349
1,True,2,2,2188,51.86316,34.47514,0.08592322,1.0,20.83806,-41.49309,18.7803,-41.40842,67.39697,-23.34723
2,True,3,3,1334,41.44258,42.93104,0.0,1.0,63.0305,-35.32995,64.56824,-33.97815,23.12685,-34.27174
3,True,4,4,13980,68.14056,48.98711,0.0,1.0,38.2262,-65.59901,36.22641,-65.07944,63.658,-2.70443
4,True,5,5,3114,13.77536,22.96066,0.2813102,1.0,9.12011,-30.12181,10.38277,-28.94778,18.45064,-17.78261
5,True,6,6,1984,58.90914,28.62152,0.0,1.0,67.99364,-4.304443,65.99196,-3.939964,11.74735,-26.91345
6,True,7,6,9914,1.517466,33.55362,0.1553359,0.8571429,45.78407,-47.39859,44.92207,-49.21836,45.74545,-50.49284
7,True,8,7,832,25.59878,22.65834,0.0,0.875,50.4201,-16.73204,48.42828,-16.23674,22.85028,-15.20943
8,True,9,8,8182,28.64565,37.70036,0.0,0.8888889,39.06178,-66.93162,40.09546,-65.22092,68.673,-63.24827
9,True,10,9,5520,66.30879,18.85811,0.4148551,0.9,66.22623,-63.66655,64.75153,-62.27891,21.70558,-11.8418
10,True,11,10,3562,45.98482,16.20858,0.4396406,0.9090909,19.49205,-27.10804,20.18523,-29.00664,66.16832,-29.40614
11,True,12,11,3014,50.05659,37.33795,0.0,0.9166667,14.48153,-20.80599,16.3114,-21.36052,66.10342,-26.50023
12,True,13,12,2392,46.0966,30.61693,0.2065217,0.9230769,62.15004,-24.36733,61.37363,-26.28081,16.92773,-14.05547
13,True,14,13,2730,37.18458,33.18304,0.0,0.9285714,66.41525,-17.80607,65.88443,-19.15591,44.24932,-49.3985
14,True,15,13,5200,9.902896,48.46244,0.01346154,0.8666667,62.61086,-17.35946,63.68845,-18.79362,57.54828,-11.02413
15,True,16,14,3418,22.87519,28.48613,0.0,0.875,37.37604,-37.63116,37.36245,-35.8324,59.85368,-31.65886
16,True,17,15,6014,16.88651,27.77064,0.3192551,0.8823529,42.68893,-27.16526,44.47014,-26.14898,53.235,-40.5826
17,True,18,16,2520,31.01648,51.7145,0.0,0.8888889,33.90198,-53.81628,35.80664,-52.99169,47.13968,-24.12005
18,True,19,17,2,16.21309,15.9491,0.0,0.8947368,20.7168,-40.62015,20.12909,-39.58612,15.07959,-54.99282
19,True,20,18,16342,47.37453,36.71749,0.04381349,0.9,42.53069,-53.072,44.26588,-52.12012,8.619972,-20.9157
20,True,21,19,5650,32.07301,36.86574,0.0,0.9047619,35.16796,-16.619,33.93959,-15.8937,3.225578,-6.658081
