epsode,capture,total_captures,lone_wolf_captures,prey_survived_step,predator_distance,avg_predator_distance,predator_proximity_rate,score,capture_x,capture_z,catcher_predator_x,catcher_predator_z,other_predator_x,other_predator_z
0,True,1,1,7178,68.53365,44.07124,0.0,1.0,2.867714,-2.79483,3.254646,-4.51059,47.23236,-57.07234
1,True,2,2,6272,25.64588,24.39995,0.1540179,1.0,20.95702,-48.52678,21.60309,-46.8661,45.15494,-36.71651
2,True,3,3,5224,33.75037,14.88972,0.4008423,1.0,53.8185,-21.72336,52.39667,-23.00024,61.12361,-55.60282
3,True,4,4,9718,52.6505,47.71597,0.0,1.0,3.272827,-2.287674,5.019371,-2.448753,49.04959,-31.31629
4,True,5,4,9836,5.629131,13.35964,0.4735665,0.8,57.84894,-10.85308,56.30106,-11.51021,52.47845,-15.64207
5,True,6,5,142,58.25991,56.17622,0.0,0.8333333,54.49011,-2.81778,53.20653,-3.459114,68.71939,-59.61568
6,True,7,6,12340,29.89595,14.45384,0.6489465,0.8571429,69.02127,-67.91081,68.60641,-66.17097,53.79529,-40.20271
7,True,8,7,10278,40.59875,39.08448,0.0,0.875,69.12671,-2.786919,68.92189,-4.552383,53.29379,-42.02226
8,True,9,8,310,35.7577,33.01432,0.0,0.8888889,50.97293,-16.48579,49.9014,-17.54013,68.69809,-47.95856
9,True,10,8,3184,2.814235,35.01694,0.3222362,0.8,68.38525,-67.64227,67.20515,-66.91333,64.63043,-65.77929
10,True,11,9,7418,40.91464,28.86025,0.05634942,0.8181818,45.20926,-61.93546,46.67356,-60.82576,43.5932,-20.02727
11,True,12,9,4960,5.708387,13.85234,0.6604839,0.75,68.6403,-34.94965,67.64624,-33.39601,61.93867,-33.3187
12,True,13,9,2920,9.611906,5.056357,1.0,0.6923077,41.78424,-28.04633,43.52684,-29.1623,52.3569,-32.95948
13,True,14,10,1004,46.29149,34.00738,0.0,0.7142857,56.97327,-10.80853,55.59517,-11.17268,30.20834,-49.882
14,True,15,11,10554,52.91275,25.31226,0.2139473,0.7333333,20.92638,-67.60774,21.6852,-65.91732,59.39865,-28.8034
15,True,15,11,20000,0,44.74213,0.0,0.7333333,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,True,16,12,7024,38.50305,33.33141,0.0,0.75,18.70226,-39.59159,18.71336,-41.02324,41.35023,-9.87751
17,True,17,13,9028,30.69958,41.09209,0.04895879,0.7647059,2.864319,-2.795258,3.230484,-4.531517,23.82597,-27.29629
18,True,18,14,11182,48.4618,22.68811,0.2994098,0.7777778,3.467827,-54.20186,4.586235,-55.03247,48.52253,-34.58418
19,True,18,14,20000,0,23.15161,0.3175,0.7777778,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
20,True,19,15,5192,61.26702,43.70018,0.01694915,0.7894737,2.889145,-2.79155,3.227562,-4.510223,58.17563,-31.60814
21,True,20,16,4470,62.33836,35.41365,0.0,0.8,3.311546,-59.09275,4.973526,-58.59921,59.86472,-29.05233
22,True,21,16,1142,4.299824,21.94763,0.1978984,0.7619048,20.40108,-29.20028,22.21227,-28.97658,26.47558,-29.52839
23,True,22,17,5310,48.47341,30.27702,0.1853107,0.7727273,69.14609,-2.783501,68.96341,-4.563965,22.54288,-18.52068
24,True,23,18,6386,42.49301,21.27425,0.2088945,0.7826087,21.3979,-50.01616,22.23976,-48.88321,41.11793,-10.81397
25,True,24,18,1236,3.618786,29.92974,0.1035599,0.75,47.36424,-48.59881,45.65262,-48.57688,46.6426,-45.09622
26,True,24,18,20000,0,45.65262,0.0,0.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27,True,25,19,11780,46.36347,48.6032,0.0,0.76,3.27684,-2.317009,4.965469,-2.553009,24.17952,-44.74738
28,True,25,19,20000,0,20.33694,0.4103,0.76,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
29,True,26,20,6832,30.68917,33.3691,0.0,0.7692308,69.15344,-2.783691,69.00301,-4.522491,54.43253,-31.53148
30,True,27,21,5184,59.28089,30.84193,0.0,0.7777778,69.0383,-67.91674,68.70038,-66.16026,50.32968,-9.797836
31,True,28,21,3124,2.040658,32.40592,0.1523688,0.75,49.12627,-15.22912,48.90977,-16.88433,50.94528,-16.99052
32,True,28,21,20000,0,33.46773,0.0869,0.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33,True,29,22,912,31.47516,29.84215,0.0,0.7586207,51.32686,-17.79014,49.57611,-18.28075,21.27764,-32.06054
34,True,30,23,1736,37.27273,52.08895,0.0,0.7666667,40.70251,-15.70382,39.84402,-17.12598,3.258057,-10.00706
35,True,31,23,2692,6.58338,37.25529,0.1270431,0.7419355,40.90295,-64.1319,40.35558,-62.40162,39.07561,-55.94388
36,True,32,23,12790,0.7942135,45.15485,0.07630961,0.71875,3.267242,-68.26633,5.026527,-68.46136,5.339211,-67.73137
37,True,33,24,688,50.82272,41.1313,0.0,0.7272727,57.41544,-67.31207,56.72531,-65.83419,49.95868,-15.46394
38,True,34,25,5734,29.23505,24.82887,0.2326474,0.7352941,20.02592,-29.48172,20.09978,-31.321,49.31351,-30.20481
39,True,35,26,15692,55.43341,26.13032,0.2268672,0.7428572,3.312782,-17.59984,5.095894,-17.83065,59.48027,-28.56384
40,True,36,27,1392,49.6258,33.04079,0.0,0.75,68.6459,-31.87259,66.91396,-31.7098,17.34369,-29.36471
41,True,37,28,2174,87.02872,59.08667,0.0,0.7567568,3.279495,-68.41635,4.956764,-68.2582,62.26183,-2.759338
42,True,38,29,7620,24.00694,33.17667,0.0,0.7631579,3.276787,-2.304916,5.073471,-2.520699,23.72954,-17.62809
43,True,39,30,6192,50.8217,46.46394,0.03359173,0.7692308,2.914696,-67.90759,3.326843,-66.13415,25.98488,-20.64336
44,True,40,30,2546,3.992908,13.15364,0.6142969,0.75,42.72881,-65.47592,43.8284,-63.99675,44.7094,-60.10231
45,True,40,30,20000,0,23.93054,0.3085,0.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
46,True,41,31,3400,34.11597,22.20577,0.1241177,0.7560976,17.31595,-40.66588,17.98275,-42.30769,51.2977,-34.95883
47,True,42,31,15562,1.522372,37.14371,0.03855545,0.7380952,56.18039,-28.29816,54.86337,-29.36434,56.10541,-30.24452
48,True,43,32,9872,71.86346,37.14723,0.07536466,0.744186,3.285248,-68.32732,5.024612,-67.9267,51.26366,-12.91496
49,True,44,33,7874,61.11908,43.56495,0.0,0.75,69.03488,-67.91613,68.66412,-66.18209,47.72121,-8.763336
50,True,45,34,6138,66.99274,55.03049,0.0,0.7555556,3.2733,-2.284233,5.0103,-2.45533,45.20952,-56.04604
